# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3327
#@/user_id	d2fd4d0f-a2d6-48c2-a75c-fbbe5f221165
a 	啊	c=2 d=0.0946542 t=3327
cai se 	彩色	c=1 d=0.852144 t=3327
can kao 	參考	c=2 d=0.000499103 t=3327
can shu 	參數	c=9 d=0.16379 t=3327
cao 	操	c=0 d=9.18981e-08 t=3327
cao wang ba 	操網吧	c=1 d=9.23588e-07 t=3327
cao zuo 	操作	c=2 d=0.162026 t=3327
ce lve 	策略	c=1 d=1.13373e-06 t=3327
ce shi 	測試	c=7 d=1.91982 t=3327
ce shi wang su 	測試網速	c=1 d=1.34057e-07 t=3327
ce shi wen a jin 	測試問啊進	c=1 d=0.951229 t=3327
ce shi wen jian 	測試文件	c=1 d=1.33388e-07 t=3327
ceng 	層	c=19 d=0.274677 t=3327
ceng 	曾	c=1 d=0.00067217 t=3327
ceng ci 	層次	c=1 d=0.000107825 t=3327
ceng jing 	曾經	c=2 d=0.0142526 t=3327
cha jian 	插件	c=3 d=5.53845e-07 t=3327
cha kan 	查看	c=4 d=0.575065 t=3327
cha ke rui 	查克瑞	c=0 d=6.08411e-09 t=3327
cha ru 	插入	c=1 d=1.51149e-07 t=3327
chang 	長	c=1 d=1.84582e-05 t=3327
chang du 	長度	c=4 d=1.32898 t=3327
chang e 	嫦娥	c=1 d=1.2719e-06 t=3327
chang jing 	場景	c=1 d=0.018968 t=3327
chang liang 	常量	c=2 d=0.00211749 t=3327
chang shi 	嘗試	c=1 d=7.03407e-07 t=3327
chang shi yi xia 	嘗試一下	c=1 d=8.8967e-08 t=3327
chang yang 	長陽	c=1 d=2.1992e-07 t=3327
chang yong 	常用	c=1 d=1.67173e-07 t=3327
chang zhu 	常駐	c=1 d=5.35444e-05 t=3327
chao shi 	超市	c=1 d=4.54077e-07 t=3327
chen 	陳	c=1 d=4.72608e-07 t=3327
chen bing 	陳冰	c=1 d=4.77358e-07 t=3327
cheng 	成	c=1 d=0.0617291 t=3327
cheng 	誠	c=1 d=6.09882e-07 t=3327
cheng du 	程度	c=1 d=3.44845e-05 t=3327
cheng fa 	乘法	c=1 d=4.74896e-05 t=3327
cheng feng po lang de jie jie 	乘风破浪的姐姐	c=3 d=5.77451e-07 t=3327
cheng gong 	成功	c=1 d=1.87404e-07 t=3327
cheng li 	成立	c=1 d=2.08655e-06 t=3327
cheng ren 	承認	c=1 d=2.11808e-06 t=3327
cheng wei 	成爲	c=1 d=0.000126534 t=3327
cheng xu 	程序	c=31 d=0.345772 t=3327
cheng xu yuan 	程序員	c=1 d=6.19099e-07 t=3327
chong lang 	衝浪	c=1 d=2.13421e-07 t=3327
chong xin 	重新	c=1 d=0.00848038 t=3327
chou xiang 	抽象	c=10 d=0.22324 t=3327
chu 	出	c=6 d=0.000189849 t=3327
chu bao 	除暴	c=1 d=0.00123091 t=3327
chu lai 	出來	c=13 d=0.250697 t=3327
chu le 	除了	c=0 d=1.34729e-08 t=3327
chu le ai ren 	除了愛人	c=1 d=1.35404e-07 t=3327
chu li 	處理	c=5 d=0.0997276 t=3327
chu xue zhe 	初學者	c=1 d=0.000352662 t=3327
chuan bo 	傳播	c=1 d=4.43936e-06 t=3327
chuan song 	傳送	c=3 d=0.494933 t=3327
chuang jian 	創建	c=3 d=0.0100817 t=3327
chuang zao 	創造	c=1 d=4.56353e-07 t=3327
chun 	純	c=1 d=0.000189713 t=3327
ci 	次	c=2 d=0.465343 t=3327
cong 	從	c=16 d=0.58416 t=3327
cong ma ke 	從馬克	c=1 d=0.26982 t=3327
cong ni de 	從你的	c=1 d=2.37622e-06 t=3327
cong xin 	從新	c=1 d=0.00835412 t=3327
cu bao 	粗暴	c=1 d=0.00123708 t=3327
cun 	村	c=1 d=2.26618e-07 t=3327
cun chu 	存儲	c=10 d=1.71712 t=3327
cun chu qi 	存儲器	c=2 d=0.306771 t=3327
cun chu zhe 	存儲着	c=1 d=0.00852289 t=3327
cun zai 	存在	c=2 d=0.0101471 t=3327
cuo le 	錯了	c=0 d=0.000822975 t=3327
da 	大	c=1 d=1.18591e-06 t=3327
da dao 	達到	c=0 d=1.47417e-08 t=3327
da dao ni de 	達到你的	c=1 d=1.48156e-07 t=3327
da dian hua 	打電話	c=1 d=4.99329e-07 t=3327
da gai 	大概	c=1 d=0.024972 t=3327
da gong 	打工	c=2 d=1.52373e-06 t=3327
da jia 	大家	c=2 d=0.50409 t=3327
da ka 	打卡	c=1 d=1.86469e-07 t=3327
da kai 	打開	c=2 d=2.47578e-07 t=3327
da xue 	大學	c=1 d=3.83088e-07 t=3327
da yin 	打印	c=7 d=0.0256245 t=3327
da ying 	答應	c=1 d=2.47917e-05 t=3327
da za hui 	大雜燴	c=1 d=6.75654e-06 t=3327
da zi 	打字	c=1 d=9.39973e-08 t=3327
dai biao 	代表	c=1 d=0.562705 t=3327
dai li 	代理	c=1 d=3.96734e-07 t=3327
dai ma 	代碼	c=5 d=2.79349 t=3327
dai yu 	待遇	c=1 d=1.11415e-07 t=3327
dan 	但	c=0 d=7.09811e-05 t=3327
dan 	單	c=1 d=0.00114769 t=3327
dan du 	單獨	c=1 d=6.33133e-06 t=3327
dan ge 	單個	c=1 d=2.83751e-05 t=3327
dan hai hao 	但還好	c=1 d=0.000105163 t=3327
dan hou lai 	但後來	c=1 d=0.000608204 t=3327
dan shi 	但是	c=2 d=0.00119462 t=3327
dan yuan 	單元	c=2 d=0.384105 t=3327
dang qian 	當前	c=3 d=0.290835 t=3327
dang zhong 	當中	c=6 d=1.27604 t=3327
dang zhong qu 	當中去	c=1 d=0.0110536 t=3327
dao 	到	c=23 d=2.47147 t=3327
de 	的	c=343 d=17.1044 t=3327
de dao 	得到	c=16 d=0.0126416 t=3327
de guo 	德國	c=1 d=0.683861 t=3327
deng deng 	等等	c=1 d=2.61303e-06 t=3327
deng lu 	登錄	c=1 d=5.89509e-07 t=3327
deng shi 	等式	c=1 d=2.07614e-06 t=3327
di 	第	c=11 d=0.825722 t=3327
di ceng 	底層	c=2 d=0.101802 t=3327
di duan 	低端	c=1 d=0.733447 t=3327
di er ban 	第二版	c=2 d=3.33496e-06 t=3327
di er ceng 	第二層	c=1 d=0.07502 t=3327
di fang 	地方	c=2 d=0.000287026 t=3327
di gui 	遞歸	c=1 d=0.0098528 t=3327
di san 	第三	c=0 d=2.63884e-05 t=3327
di san ceng 	第三層	c=1 d=0.000265207 t=3327
di yi 	第一	c=0 d=3.21532e-06 t=3327
di yi ceng 	第一層	c=2 d=0.0743063 t=3327
di yi ci 	第一次	c=2 d=4.22745e-06 t=3327
di yi hang 	第一行	c=1 d=1.49645e-07 t=3327
di zhi 	地址	c=10 d=1.5182 t=3327
dian 	點	c=50 d=2.3988 t=3327
dian hua 	電話	c=3 d=1.09143e-06 t=3327
diao 	掉	c=1 d=0.055299 t=3327
diao yong 	調用	c=9 d=0.000396873 t=3327
die dai 	迭代	c=1 d=0.0593087 t=3327
ding dang 	叮噹	c=1 d=1.9603e-07 t=3327
ding yi 	定義	c=4 d=0.108409 t=3327
ding yue 	訂閱	c=4 d=2.0247e-06 t=3327
diu 	丟	c=1 d=0.0550232 t=3327
diu diao 	丟掉	c=5 d=0.22393 t=3327
dong 	動	c=1 d=8.72054e-08 t=3327
dong 	東	c=2 d=6.88455e-07 t=3327
dong tai 	動態	c=1 d=0.12493 t=3327
dong xi 	東西	c=5 d=0.0189599 t=3327
dou 	都	c=2 d=0.506622 t=3327
dou cha ke rui 	都查克瑞	c=2 d=1.22599e-07 t=3327
dou wei 	都爲	c=1 d=4.65492e-05 t=3327
dou yao 	都要	c=4 d=0.000212973 t=3327
du 	讀	c=1 d=7.81215e-08 t=3327
du qu 	讀取	c=10 d=0.572979 t=3327
du qu dao 	讀取到	c=1 d=0.0399551 t=3327
duan 	段	c=1 d=0.121238 t=3327
duan xin 	短信	c=3 d=8.25397e-07 t=3327
dui 	堆	c=5 d=0.229999 t=3327
dui 	對	c=18 d=0.167208 t=3327
dui bi 	對比	c=2 d=0.0051116 t=3327
dui lie 	隊列	c=1 d=2.58703e-06 t=3327
dui qi 	對齊	c=3 d=1.0225 t=3327
dui shou 	對手	c=1 d=0.715338 t=3327
dui ying 	對應	c=6 d=0.130226 t=3327
dui yu 	對於	c=2 d=3.85904e-07 t=3327
duo shao 	多少	c=4 d=3.18761e-06 t=3327
e luo si 	俄羅斯	c=2 d=0.67368 t=3327
e si 	餓死	c=0 d=1.08384e-07 t=3327
er 	二	c=4 d=0.152746 t=3327
er bu shi 	而不是	c=1 d=0.0102549 t=3327
er ceng 	二層	c=2 d=0.103591 t=3327
er jin zhi 	二進制	c=1 d=0.00029902 t=3327
er shou 	二手	c=2 d=0.268477 t=3327
er yuan 	二元	c=1 d=5.1578e-06 t=3327
fa dao 	發到	c=1 d=2.54851e-06 t=3327
fa guo 	法國	c=1 d=0.680451 t=3327
fa xian 	發現	c=1 d=0.00396599 t=3327
fa xiao xi 	發消息	c=2 d=0.993221 t=3327
fa xing 	發行	c=1 d=0.000495472 t=3327
fa you jian 	發郵件	c=1 d=5.22312e-07 t=3327
fan bian yi 	反編譯	c=1 d=0.479505 t=3327
fan gun 	翻滾	c=1 d=0.23457 t=3327
fan hui 	返回	c=8 d=0.000289771 t=3327
fan wei 	範圍	c=7 d=0.000234004 t=3327
fan xiang 	反向	c=1 d=4.41722e-06 t=3327
fang 	放	c=2 d=0.211353 t=3327
fang 	方	c=1 d=2.78179e-07 t=3327
fang dao 	放到	c=1 d=0.000223746 t=3327
fang di chan 	房地產	c=1 d=1.13666e-07 t=3327
fang fa 	方法	c=3 d=0.00928273 t=3327
fang jia 	房價	c=1 d=5.27562e-07 t=3327
fang shi 	方式	c=3 d=1.01828e-05 t=3327
fang wei 	方位	c=1 d=0.763379 t=3327
fang wen 	訪問	c=1 d=0.127454 t=3327
fang xiang 	方向	c=1 d=0.843665 t=3327
fang zai 	放在	c=3 d=0.0244101 t=3327
fei 	非	c=1 d=6.0684e-07 t=3327
fei chang 	非常	c=1 d=0.000816895 t=3327
fei lv bin 	菲律賓	c=1 d=0.697676 t=3327
fen 	份	c=1 d=0.00114197 t=3327
fen 	分	c=3 d=0.120633 t=3327
fen bu 	分佈	c=3 d=0.0695473 t=3327
fen bu shi 	分佈式	c=1 d=0.0273237 t=3327
fen bu xing zhuang 	分佈形狀	c=1 d=0.0227089 t=3327
fen ceng 	分層	c=1 d=0.00304273 t=3327
fen ge 	分割	c=1 d=3.70583e-06 t=3327
fen ge dian 	分割點	c=1 d=3.8594e-06 t=3327
fen qu 	分區	c=2 d=6.26957e-06 t=3327
fen xi 	分析	c=1 d=2.15566e-07 t=3327
fen xiang 	分享	c=1 d=0.00406639 t=3327
fen zhi 	分支	c=1 d=0.000350903 t=3327
feng 	峯	c=1 d=0.380983 t=3327
feng nuo yi man 	冯诺依曼	c=1 d=1.11685e-06 t=3327
feng zhuang 	封裝	c=2 d=4.56712e-05 t=3327
fo 	佛	c=1 d=3.93736e-06 t=3327
fu 	覆	c=1 d=0.000113353 t=3327
fu he 	符合	c=2 d=0.00129874 t=3327
fu wu 	服務	c=3 d=0.00408914 t=3327
fu za 	複雜	c=1 d=0.00121866 t=3327
fu zhi 	複製	c=1 d=0.00116504 t=3327
fu zhi 	賦值	c=1 d=0.0234005 t=3327
gai bian 	改變	c=0 d=8.27381e-08 t=3327
gai jin 	改進	c=1 d=0.000115067 t=3327
gan shen me 	幹什麼	c=0 d=1.00051e-07 t=3327
gan xiang 	感想	c=1 d=5.40825e-05 t=3327
gan xie 	感謝	c=1 d=6.70662e-07 t=3327
gao su 	告訴	c=1 d=0.000735471 t=3327
gao su ni 	告訴你	c=1 d=3.96666e-05 t=3327
ge 	個	c=8 d=0.0307047 t=3327
ge ge 	各個	c=2 d=0.049753 t=3327
ge ju 	格局	c=1 d=0.010358 t=3327
ge shi 	格式	c=3 d=0.54801 t=3327
gei 	給	c=3 d=0.0213091 t=3327
gei chu 	給出	c=3 d=6.90826e-05 t=3327
gei chu le 	給出了	c=3 d=0.000253948 t=3327
gei de 	給的	c=1 d=0.0017555 t=3327
gei le 	給了	c=1 d=3.18386e-07 t=3327
gei ni 	給你	c=3 d=0.53802 t=3327
gei ni yi tiao 	給你一條	c=1 d=2.35866e-07 t=3327
gen 	根	c=3 d=0.0566362 t=3327
gen 	跟	c=2 d=0.0109852 t=3327
gen ju 	根據	c=9 d=0.497042 t=3327
geng 	更	c=1 d=0.00032882 t=3327
gong 	供	c=1 d=0.000261259 t=3327
gong 	功	c=1 d=1.88343e-07 t=3327
gong cheng 	工程	c=1 d=0.00033379 t=3327
gong ju 	工具	c=3 d=0.000459186 t=3327
gong li 	公里	c=0 d=9.70941e-08 t=3327
gong neng 	功能	c=2 d=0.000445802 t=3327
gong shi 	公式	c=1 d=0.00208081 t=3327
gong zuo 	工作	c=1 d=1.05708e-06 t=3327
gu 	股	c=1 d=6.31606e-07 t=3327
gu ji 	估計	c=1 d=0.0248475 t=3327
gu li 	鼓勵	c=1 d=0.000241172 t=3327
gu ming 	沽名	c=1 d=1.08646e-05 t=3327
gu ming 	顧名	c=1 d=1.09191e-05 t=3327
guan li 	管理	c=3 d=0.000471664 t=3327
guan xi 	關係	c=1 d=1.0031e-07 t=3327
guang gao 	廣告	c=1 d=1.81865e-07 t=3327
guang zhou 	廣州	c=4 d=2.61254e-06 t=3327
gui ding 	規定	c=2 d=0.0208571 t=3327
gui fan 	規範	c=2 d=0.364223 t=3327
gui ze 	規則	c=1 d=0.0140519 t=3327
guo 	過	c=6 d=0.00377336 t=3327
guo cheng 	過程	c=5 d=0.053424 t=3327
guo cheng zhong 	過程中	c=2 d=0.00112901 t=3327
guo de gang 	郭德綱	c=2 d=5.14183e-06 t=3327
guo he 	過河	c=1 d=1.10022e-06 t=3327
hai hao 	還好	c=0 d=1.04638e-05 t=3327
hai ke yi 	還可以	c=3 d=0.000965319 t=3327
hai mei you 	還沒有	c=1 d=1.89745e-06 t=3327
hai sheng xia 	還剩下	c=1 d=8.35555e-05 t=3327
hai shi 	還是	c=4 d=0.00949275 t=3327
hai xu yao 	還需要	c=1 d=0.00514361 t=3327
hai zi men 	孩子們	c=1 d=9.51715e-07 t=3327
han shu 	函數	c=14 d=0.155294 t=3327
hao 	好	c=5 d=0.001071 t=3327
hao 	號	c=1 d=1.14512e-06 t=3327
hao de 	好的	c=2 d=0.000305207 t=3327
hao ma 	號碼	c=1 d=3.64405e-07 t=3327
hao xiang 	好像	c=2 d=0.628135 t=3327
hao xiang zhe yang 	好像這樣	c=1 d=7.22896e-07 t=3327
he 	和	c=13 d=1.60758 t=3327
he bing zai 	合併在	c=1 d=1.94548e-06 t=3327
he fa 	合法	c=1 d=2.16609e-05 t=3327
he ji 	合集	c=1 d=4.04748e-07 t=3327
he xin 	核心	c=4 d=0.0784991 t=3327
hei ke 	黑客	c=1 d=1.97012e-07 t=3327
hei ti 	黑體	c=1 d=3.55408e-07 t=3327
hen duo 	很多	c=1 d=0.000217133 t=3327
hong huang zhi li 	洪荒之力	c=1 d=7.94939e-07 t=3327
hou 	侯	c=1 d=1.54975e-07 t=3327
hou 	後	c=3 d=0.00866293 t=3327
hou bu 	候補	c=1 d=5.60184e-07 t=3327
hou jie 	侯捷	c=1 d=1.54202e-07 t=3327
hou lai 	後來	c=2 d=0.0274163 t=3327
hou mian 	後面	c=2 d=0.0163491 t=3327
hu 	乎	c=1 d=1.31403e-07 t=3327
hu bei sheng 	湖北省	c=1 d=2.16646e-07 t=3327
hua 	花	c=1 d=0.606531 t=3327
hua 	華	c=1 d=4.47316e-07 t=3327
hua 	話	c=4 d=0.00250511 t=3327
hua chu 	畫出	c=1 d=0.00250366 t=3327
huan cun 	緩存	c=11 d=0.155006 t=3327
huan hang 	換行	c=2 d=8.13058e-06 t=3327
huan jing 	環境	c=7 d=0.640529 t=3327
huan xing 	喚醒	c=1 d=0.000742862 t=3327
hui 	會	c=2 d=0.0871626 t=3327
hui bian 	彙編	c=1 d=2.00992e-07 t=3327
hui chu 	繪出	c=1 d=2.95331e-05 t=3327
hui du 	灰度	c=2 d=1.63748 t=3327
hui gui 	回歸	c=2 d=0.000130505 t=3327
hui hua 	繪畫	c=2 d=0.000114696 t=3327
hui shi 	回事	c=1 d=1.97489e-06 t=3327
hui tu 	繪圖	c=3 d=0.000594214 t=3327
hui you 	會有	c=1 d=0.000792752 t=3327
hui zhi 	繪製	c=1 d=0.00151098 t=3327
hun he 	混合	c=2 d=1.1176e-05 t=3327
huo 	或	c=2 d=0.345005 t=3327
huo qu 	獲取	c=5 d=0.451888 t=3327
huo qu dao 	獲取到	c=1 d=2.747e-06 t=3327
huo zhe 	或者	c=5 d=0.0106373 t=3327
ji 	機	c=0 d=1.78264e-08 t=3327
ji ben 	基本	c=1 d=0.000372602 t=3327
ji ben shang 	基本上	c=1 d=0.000953854 t=3327
ji chang 	機場	c=2 d=5.59073e-06 t=3327
ji cheng 	繼承	c=2 d=0.000206982 t=3327
ji cheng 	集成	c=1 d=7.39283e-06 t=3327
ji chu 	基礎	c=2 d=0.00203104 t=3327
ji cun qi 	寄存器	c=8 d=1.3856 t=3327
ji ge 	幾個	c=5 d=1.08076 t=3327
ji he 	集合	c=1 d=0.000159256 t=3327
ji hui 	機會	c=2 d=1.10046 t=3327
ji huo 	激活	c=1 d=3.86939e-07 t=3327
ji ji jiu jiu 	唧唧啾啾	c=0 d=1.64558e-08 t=3327
ji nan 	暨南	c=1 d=3.81178e-07 t=3327
ji nan da xue 	暨南大學	c=1 d=0.414783 t=3327
ji qi 	機器	c=1 d=0.786628 t=3327
ji qi xue xi 	机器学习	c=1 d=4.87001e-07 t=3327
ji shi 	幾十	c=0 d=9.70941e-08 t=3327
ji shi gong li 	幾十公里	c=1 d=9.75808e-07 t=3327
ji shu 	技術	c=2 d=0.265856 t=3327
ji shu qi 	計數器	c=1 d=0.458406 t=3327
ji suan 	計算	c=18 d=0.536149 t=3327
ji suan ji 	計算機	c=2 d=0.00202068 t=3327
ji suan ti xi 	計算體系	c=1 d=1.12245e-06 t=3327
ji yu 	基於	c=6 d=0.0892426 t=3327
jia 	夾	c=1 d=0.00103848 t=3327
jia gou 	架構	c=3 d=0.00246737 t=3327
jia mi 	加密	c=2 d=0.0177568 t=3327
jia na da 	加拿大	c=1 d=0.690734 t=3327
jia ru 	加入	c=1 d=0.00562801 t=3327
jia shang 	加上	c=1 d=1.88799e-06 t=3327
jia she 	假設	c=2 d=0.00361104 t=3327
jian 	件	c=1 d=0.0102037 t=3327
jian dan 	簡單	c=2 d=0.0315736 t=3327
jian ji ju ji 	劍及屨及	c=0 d=1.63738e-08 t=3327
jiang 	將	c=17 d=0.846831 t=3327
jiang di 	降低	c=1 d=0.0029528 t=3327
jiang hui 	將會	c=2 d=0.0200428 t=3327
jiang shi 	將是	c=2 d=0.014343 t=3327
jiang yao 	將要	c=1 d=3.2398e-06 t=3327
jiao 	較	c=1 d=0.271173 t=3327
jiao cheng 	教程	c=0 d=1.01057e-07 t=3327
jiao dian 	交點	c=2 d=0.586198 t=3327
jiao dian 	焦點	c=1 d=0.283654 t=3327
jiao du 	角度	c=3 d=0.00208492 t=3327
jiao gei 	交給	c=1 d=2.27166e-06 t=3327
jiao yan 	校驗	c=3 d=1.75507e-06 t=3327
jiao yu 	教育	c=1 d=3.90827e-07 t=3327
jie 	捷	c=1 d=1.55752e-07 t=3327
jie gou 	結構	c=24 d=0.289026 t=3327
jie gou hua 	結構化	c=2 d=0.00339637 t=3327
jie guo 	結果	c=3 d=0.00298872 t=3327
jie ju 	截距	c=4 d=0.0340958 t=3327
jie jue 	解決	c=2 d=0.618783 t=3327
jie kou 	接口	c=3 d=0.0284394 t=3327
jie lun 	結論	c=1 d=0.00265848 t=3327
jie shao 	介紹	c=2 d=0.26635 t=3327
jie shi 	解釋	c=1 d=2.4305e-07 t=3327
jin 	進	c=1 d=0.0953243 t=3327
jin guan 	儘管	c=1 d=0.000841773 t=3327
jin hua 	進化	c=3 d=0.001077 t=3327
jin ji 	禁忌	c=1 d=4.83321e-06 t=3327
jin jin ji jiao 	斤斤計較	c=0 d=1.64558e-08 t=3327
jin jin ji jiao ji ji jiu jiu 	斤斤計較唧唧啾啾	c=1 d=1.65383e-07 t=3327
jin lai 	進來	c=2 d=6.95795e-05 t=3327
jin ru 	進入	c=1 d=0.00315111 t=3327
jin xing 	進行	c=6 d=0.134302 t=3327
jing li 	經歷	c=1 d=1.00813e-07 t=3327
jing ling 	精靈	c=1 d=4.65572e-07 t=3327
jing yan 	經驗	c=1 d=1.07306e-06 t=3327
jiu 	就	c=9 d=0.555712 t=3327
jiu shi 	就是	c=1 d=0.164474 t=3327
jiu shi hao 	就是好	c=0 d=8.44096e-08 t=3327
jiu shi hao kan le yi xie 	就是好看了一些	c=1 d=8.48327e-07 t=3327
ju gong 	鞠躬	c=1 d=7.44912e-07 t=3327
ju li 	距離	c=7 d=0.165402 t=3327
ju ti 	具體	c=4 d=0.000380509 t=3327
kai 	開	c=1 d=0.020141 t=3327
kai fa 	開發	c=4 d=0.00244566 t=3327
kan 	看	c=0 d=1.15663e-07 t=3327
kan chu lai 	看出來	c=1 d=0.000605171 t=3327
kan le 	看了	c=0 d=8.44096e-08 t=3327
kan zuo 	看作	c=1 d=0.00914087 t=3327
kao lv 	考慮	c=3 d=0.0720154 t=3327
kao yan 	考研	c=1 d=0.382893 t=3327
ke cheng 	課程	c=1 d=1.23431e-06 t=3327
ke kuo zhan 	可擴展	c=1 d=0.000205513 t=3327
ke neng 	可能	c=1 d=0.000788798 t=3327
ke shi hua 	可視化	c=4 d=0.13391 t=3327
ke yi 	可以	c=14 d=0.22769 t=3327
ke yi kan 	可以看	c=1 d=1.16243e-06 t=3327
kong 	空	c=3 d=0.65377 t=3327
kong ge 	空格	c=1 d=4.82155e-07 t=3327
kong jian 	空間	c=1 d=0.000992781 t=3327
kong zhuan 	空轉	c=1 d=0.467666 t=3327
ku 	庫	c=8 d=0.842397 t=3327
kuang jia 	框架	c=1 d=0.00155699 t=3327
kun 	昆	c=5 d=3.09811e-05 t=3327
kuo zhan 	擴展	c=1 d=0.0665368 t=3327
la ji jia 	垃圾架	c=0 d=1.63738e-08 t=3327
la ji jia jian ji ju ji 	垃圾架劍及屨及	c=1 d=1.64558e-07 t=3327
lai 	來	c=13 d=0.0407322 t=3327
lai jiang 	來講	c=1 d=0.000137073 t=3327
le 	了	c=19 d=0.803299 t=3327
le lv mao 	了綠帽	c=1 d=0.88692 t=3327
lei 	類	c=10 d=0.056567 t=3327
li ji 	立即	c=0 d=0.018452 t=3327
li ji shu 	立即數	c=2 d=0.373691 t=3327
li lun 	理論	c=3 d=0.00500354 t=3327
li mian 	裏面	c=5 d=0.0126764 t=3327
li mian qu 	裏面去	c=1 d=0.0149956 t=3327
